Uhel_Stupne;Max_Pnuti;Hustota_Mostu;Status
0;10.568442511386907;0.3752463667568902;ODRAZ
2;10.573076012341774;0.3847275689208014;ODRAZ
4;10.577692596665045;0.4118526613010385;ODRAZ
6;10.582286665573072;0.45343736386996447;ODRAZ
8;10.586852654843902;0.505885304177448;ODRAZ
10;10.59138504142172;0.5661314336486906;ODRAZ
12;10.595878349938241;0.6318871141389386;ODRAZ
14;10.60032715914385;0.7015365488390931;ODRAZ
16;10.604726108242447;0.7739562348685675;ODRAZ
18;10.609069903123226;0.8483603610444187;ODRAZ
20;10.613353322483768;0.9241902419965061;ODRAZ
22;10.617571223838478;1.0010401527805715;ODRAZ
24;10.621718549407003;1.0786085419442413;ODRAZ
26;10.625790331877194;1.156665922032773;ODRAZ
28;10.629781700037814;1.2350335249961792;ODRAZ
30;10.633687884275632;1.313568909490728;ODRAZ
32;10.637504221933376;1.3921560994097448;ODRAZ
34;10.641226162522855;1.4706987157060332;ODRAZ
36;10.644849272790552;1.5491151157952043;ODRAZ
38;10.648369241630512;1.6273349007254296;ODRAZ
40;10.651781884841865;1.7052963687930829;ODRAZ
42;10.655083149726947;1.7829446339711728;ODRAZ
44;10.658269119526846;1.860230218055308;ODRAZ
46;10.661336017691555;1.9371079849626345;ODRAZ
48;10.664280211981477;2.013536325328412;ODRAZ
50;10.66709821839781;2.0894765264092166;ODRAZ
52;10.669786704939401;2.1648922807247817;ODRAZ
54;10.672342495183454;2.2397492996708674;ODRAZ
56;10.674762571687967;2.3140150073401777;ODRAZ
58;10.677044079213951;2.387658296197968;ODRAZ
60;10.679184327765672;2.46064933087324;ODRAZ
62;10.68118079544691;2.5329593896825022;ODRAZ
64;10.68303113113166;2.604560735969912;ODRAZ
66;10.684733156948086;2.675426513176948;ODRAZ
68;10.686284870574156;2.7455306589243014;ODRAZ
70;10.68768444734374;2.8148478344225416;ODRAZ
72;10.688930242162359;2.883353366314565;ODRAZ
74;10.690020791231078;2.9510231986563493;ODRAZ
76;10.690954813578337;3.0178338532082547;ODRAZ
78;10.691731212398409;3.083762396571764;ODRAZ
80;10.692349076196116;3.148786412989977;ODRAZ
82;10.692807679737191;3.2128839818539463;ODRAZ
84;10.693106484803712;3.2760336591338346;ODRAZ
86;10.693245140754584;3.33821446209521;ODRAZ
88;10.69322348489027;3.399405856773746;ODRAZ
90;10.693041542622156;3.459587747772872;ODRAZ
92;10.6926995274461;3.518740470022463;ODRAZ
94;10.692197840720144;3.576844782196881;ODRAZ
96;10.691537071247152;3.6338818615394626;ODRAZ
98;10.690717994661316;3.6898332998808265;ODRAZ
100;10.68974157262014;3.744681100671694;ODRAZ
102;10.688608951801674;3.7984076768779933;ODRAZ
104;10.687321462707029;3.8509958496091508;ODRAZ
106;10.685880618269984;3.902428847369171;ODRAZ
108;10.684288112272938;3.952690305836129;ODRAZ
110;10.682545817571146;4.001764268089092;ODRAZ
112;10.680655784125538;4.049635185212565;ODRAZ
114;10.678620236845159;4.096287917218199;ODRAZ
116;10.676441573240625;4.141707734231516;ODRAZ
118;10.674122360889635;4.185880317898112;ODRAZ
120;10.671665334715762;4.228791762969976;ODRAZ
122;10.669073394082528;4.270428579037197;ODRAZ
124;10.666349599703826;4.310777692374863;ODRAZ
126;10.663497170372754;4.349826447878581;ODRAZ
128;10.660519479510848;4.387562611065161;ODRAZ
130;10.657420051539454;4.423974370117942;ODRAZ
132;10.654202558076008;4.459050337958389;ODRAZ
134;10.650870813956928;4.49277955432801;ODRAZ
136;10.647428773090445;4.525151487865975;ODRAZ
138;10.643880524141352;4.556156038169997;ODRAZ
140;10.640230286051354;4.585783537828852;ODRAZ
142;10.636482403397567;4.6140247544166675;ODRAZ
144;10.632641341592555;4.640870892439657;ODRAZ
146;10.628711681929962;4.666313595227506;ODRAZ
148;10.624698116478589;4.690344946761939;ODRAZ
150;10.620605442829781;4.712957473436199;ODRAZ
152;10.616438558701535;4.734144145739398;ODRAZ
154;10.612202456404207;4.753898379860748;ODRAZ
156;10.607902217172217;4.772214039208966;ODRAZ
158;10.603543005366559;4.789085435842598;ODRAZ
160;10.599130062553783;4.80450733180776;ODRAZ
162;10.59466870146569;4.818474940379639;ODRAZ
164;10.590164299846505;4.8309839272052635;ODRAZ
166;10.58562229419272;4.842030411344559;ODRAZ
168;10.58104817339173;4.851610966207668;ODRAZ
170;10.576447472265935;4.859722620386342;ODRAZ
172;10.571825765028466;4.866362858377931;ODRAZ
174;10.567188658657864;4.871529621200271;ODRAZ
176;10.56254178619845;4.875221306896477;ODRAZ
178;10.557890799993812;4.877436770928514;ODRAZ
180;10.553241364861318;4.878175326458797;ODRAZ
182;10.548599151214923;4.877436744519536;ODRAZ
184;10.543969828145013;4.875221254069114;ODRAZ
186;10.539359056462906;4.871529541935702;ODRAZ
188;10.534772481719303;4.866362752648086;ODRAZ
190;10.530215727204672;4.859722488154105;ODRAZ
192;10.525694386940968;4.851610807427102;ODRAZ
194;10.521214018673835;4.842030225961239;ODRAZ
196;10.516780136874324;4.8309837151566475;ODRAZ
198;10.512398205760052;4.818474701595554;ODRAZ
200;10.508073632344733;4.804507066210908;ODRAZ
202;10.503811759526863;4.789085143349198;ODRAZ
204;10.499617859226424;4.772213719729402;ODRAZ
206;10.495497125580341;4.753898033300386;ODRAZ
208;10.491454668206407;4.734143771999408;ODRAZ
210;10.487495505545935;4.712957072414517;ODRAZ
212;10.483624558295364;4.690344518354277;ODRAZ
214;10.479846642936877;4.666313139328467;ODRAZ
216;10.476166465378475;4.640870408943989;ODRAZ
218;10.472588614713208;4.614024243220496;ODRAZ
220;10.469117557108419;4.585782998831069;ODRAZ
222;10.465757629834398;4.556155471273706;ODRAZ
224;10.462513035442644;4.525150892980045;ODRAZ
226;10.45938783610346;4.492778931368583;ODRAZ
228;10.45638594811295;4.45904968685058;ODRAZ
230;10.453511136578134;4.423973690797466;ODRAZ
232;10.4507670102901;4.38756190348006;ODRAZ
234;10.448157016794006;4.349825711990915;ODRAZ
236;10.445684437664795;4.310776928162401;ODRAZ
238;10.443352383996789;4.270427786495113;ODRAZ
240;10.441163792115782;4.228790942112466;ODRAZ
242;10.439121419521301;4.1858794687599605;ODRAZ
244;10.437227841066319;4.141706856869571;ODRAZ
246;10.435485445381904;4.096287011712734;ODRAZ
248;10.43389643155298;4.049634251668548;ODRAZ
250;10.43246280605204;4.00176330663728;ODRAZ
252;10.431186379936097;3.9526893166340287;ODRAZ
254;10.43006876631249;3.902427830601782;ODRAZ
256;10.42911137807834;3.8509948054896017;ODRAZ
258;10.428315425937914;3.7984066056479238;ODRAZ
260;10.427681916701832;3.744680002601481;ODRAZ
262;10.427211651871296;3.68983217526961;ODRAZ
264;10.426905226510133;3.633880710714984;ODRAZ
266;10.426763028406924;3.5768436055151485;ODRAZ
268;10.42678523752861;3.5187392678672333;ODRAZ
270;10.426971825767081;3.4595865205550167;ODRAZ
272;10.427322556978607;3.3994046049304454;ODRAZ
274;10.427836987316667;3.338213186089056;ODRAZ
276;10.428514465857052;3.276032359451822;ODRAZ
278;10.429354135514437;3.2128826590064703;ODRAZ
280;10.43035493424823;3.148785067509716;ODRAZ
282;10.431515596555665;3.0837610290125945;ODRAZ
284;10.432834655248984;3.0178324641442167;ODRAZ
286;10.434310443513613;2.9510217886806247;ODRAZ
288;10.43594109724317;2.883351936038575;ODRAZ
290;10.437724557646542;2.8148463844751612;ODRAZ
292;10.439658574122852;2.7455291899512755;ODRAZ
294;10.441740707397821;2.675425025840473;ODRAZ
296;10.443968332916553;2.604559230948504;ODRAZ
298;10.44633864448572;2.5329578676711435;ODRAZ
300;10.448848658158667;2.46064779258393;ODRAZ
302;10.451495216356182;2.3876567423607287;ODRAZ
304;10.45427499221515;2.314013438704544;ODRAZ
306;10.457184494157666;2.239747717008103;ODRAZ
308;10.460220070671632;2.164890684830844;ODRAZ
310;10.463377915294965;2.0894749181087975;ODRAZ
312;10.466654071793995;2.0135347054801227;ODRAZ
314;10.470044439527372;1.9371063544658664;ODRAZ
316;10.47354477898593;1.8602285778590923;ODRAZ
318;10.477150717498938;1.7829429850856635;ODRAZ
320;10.480857755097317;1.705294712304568;ODRAZ
322;10.48466127052352;1.6273332378159153;ODRAZ
324;10.488556527378549;1.5491134477683435;ODRAZ
326;10.492538680395842;1.4706970440215414;ODRAZ
328;10.49660278183172;1.392154425729843;ODRAZ
330;10.500743787962579;1.3135672357433377;ODRAZ
332;10.504956565678338;1.235031853462211;ODRAZ
334;10.509235899162043;1.156664255468472;ODRAZ
336;10.513576496645332;1.0786068837552671;ODRAZ
338;10.517972997230096;1.0010385072737777;ODRAZ
340;10.522419977765471;0.9241886147501591;ODRAZ
342;10.52691195977087;0.8483587594609565;ODRAZ
344;10.531443416395046;0.7739546690107012;ODRAZ
346;10.536008779401097;0.7015350327030524;ODRAZ
348;10.540602446168402;0.6318856675811103;ODRAZ
350;10.545218786701456;0.5661300852022737;ODRAZ
352;10.549852150636841;0.5058840947766893;ODRAZ
354;10.554496874238946;0.45343635048846176;ODRAZ
356;10.55914728737568;0.4118519167578094;ODRAZ
358;10.563797720465523;0.3847271701642453;ODRAZ
360;10.568442511386898;0.3752463667568924;ODRAZ
